bucket,name,prompt,tokens_baseline,tokens_srb,wall_time_baseline_s,wall_time_srb_s,avg_entropy_baseline,avg_entropy_srb,final_entropy_srb,stop_reason_srb,resonance_efficiency
summaries,summaries_000,Summarize the main causes and consequences of the 2008 global financial crisis in 6–8 sentences.,192,212,25.10134196281433,17.079833030700684,0.6309310806294283,0.5082144759735971,0.00539398193359375,eos_token,0.0
summaries,summaries_001,Summarize the core ideas of natural selection and evolution for a non‑technical reader in ~150–250 words.,280,267,24.411170959472656,21.141839027404785,0.455463584618909,0.47628096918041785,0.6923828125,eos_token,0.0464
summaries,summaries_002,Summarize the plot and themes of Mary Shelley's 'Frankenstein' with attention to scientific ethics.,517,735,50.53927803039551,89.94970512390137,0.5104269945644548,0.43693504009117073,0.0015325546264648438,eos_token,0.0
summaries,summaries_003,"Summarize the greenhouse effect and its role in climate change, including at least two feedback loops.",479,411,54.7681200504303,40.08412003517151,0.37631484275073246,0.3813481960273427,0.04949951171875,eos_token,0.142
summaries,summaries_004,Summarize the history and impact of the internet from ARPANET to modern cloud platforms in ~200 words.,313,305,28.679205179214478,24.79516887664795,0.3776044942700444,0.44396222556223636,1.3798828125,eos_token,0.0256
summaries,summaries_005,"Summarize how vaccines work and why herd immunity matters, including common misconceptions.",611,464,69.94761180877686,55.06381392478943,0.4235868293993212,0.5135680344598047,0.814453125,eos_token,0.2406
summaries,summaries_006,Summarize the key contributions of Ada Lovelace and Alan Turing to computing history.,575,476,73.04504489898682,54.68878412246704,0.34502466834109763,0.40458671310368705,0.0001308917999267578,eos_token,0.1722
summaries,summaries_007,Summarize how CRISPR‑Cas9 gene editing works and list two potential risks and two benefits.,393,446,45.337055921554565,40.77674198150635,0.5182351621659355,0.449379407637857,0.10601806640625,eos_token,0.0
summaries,summaries_008,"Summarize the causes of Roman Empire decline, separating economic, military, and political factors.",601,632,72.866201877594,85.3559319972992,0.5301250564476813,0.6042000134534473,0.56982421875,eos_token,0.0
summaries,summaries_009,"Summarize how modern search engines rank results, mentioning crawling, indexing, and ranking signals.",660,459,98.66951179504395,56.835957050323486,0.46529136697451273,0.43631312454867566,0.783203125,eos_patience_fallback,0.3045
summaries,summaries_010,Summarize the basics of blockchain and contrast proof‑of‑work vs proof‑of‑stake in plain language.,616,625,82.49206709861755,79.92852997779846,0.36237532471294526,0.3600242714881897,0.37060546875,eos_token,0.0
summaries,summaries_011,Summarize the science of sleep stages and why REM sleep is important for memory.,517,540,69.53038907051086,61.410764932632446,0.34921266101084547,0.3175607474865737,0.0021114349365234375,eos_token,0.0
summaries,summaries_012,Summarize the differences between correlation and causation with everyday examples.,453,484,59.909016847610474,45.49069380760193,0.48644123501072395,0.40947355724070683,0.0170440673828125,eos_token,0.0
summaries,summaries_013,"Summarize plate tectonics and how it explains earthquakes, volcanoes, and mountain formation.",458,500,55.1423819065094,48.66226410865784,0.3188332286724357,0.3811632158756256,1.5974044799804688e-05,eos_token,0.0
summaries,summaries_014,"Summarize the Paris Agreement's goals, mechanisms, and criticisms in ~150 words.",189,241,19.045096158981323,19.254921913146973,0.4781123920092507,0.42208688066213457,3.224611282348633e-05,eos_token,0.0
summaries,summaries_015,Summarize how electric vehicles work and the lifecycle emissions trade‑offs vs gasoline cars.,546,579,65.62135076522827,65.44450521469116,0.41206237826591885,0.4766235827164329,0.00421142578125,eos_token,0.0
summaries,summaries_016,"Summarize quantum computing's basic idea (qubits, superposition, interference) without equations.",266,340,32.22073483467102,28.3039710521698,0.517893334752635,0.46769710568820727,0.004268646240234375,eos_token,0.0
summaries,summaries_017,Summarize photosynthesis and cellular respiration and how they are coupled in ecosystems.,502,441,53.54990196228027,44.68049478530884,0.29177195178085114,0.2914603935077347,3.874301910400391e-06,eos_token,0.1215
summaries,summaries_018,Summarize the role of randomized controlled trials in medical research and their limitations.,486,554,51.882404088974,63.10978627204895,0.5212859409581486,0.5623948839812503,2.0205974578857422e-05,eos_token,0.0
summaries,summaries_019,Summarize cloud cost optimization best practices for startups in ~150 words.,246,252,30.036576986312866,19.73379397392273,0.6050055596402021,0.5401678255626133,0.0015840530395507812,eos_token,0.0
essays,essays_000,Write a short essay (~400–600 words) explaining how scientific consensus forms and why it sometimes shifts.,607,614,71.5162239074707,76.10430002212524,0.4963178887987844,0.44192179104681,0.2042236328125,eos_patience_fallback,0.0
essays,essays_001,"Write an essay on ethical AI: balancing innovation, transparency, and societal risk (400–600 words).",567,526,73.79297590255737,63.84355688095093,0.45357944536461403,0.43233707626509577,0.31005859375,eos_token,0.0723
essays,essays_002,Write a reflective essay on the role of public libraries in digital literacy (400–600 words).,528,520,70.29273319244385,214.4847481250763,0.49534522222750116,0.49786334736989096,0.345458984375,eos_token,0.0152
essays,essays_003,"Write an essay comparing renewable energy sources (solar, wind, hydro) with key trade‑offs (400–600 words).",632,611,92.02156281471252,77.37550282478333,0.5337512512938886,0.5014239825710728,0.00031638145446777344,eos_token,0.0332
essays,essays_004,Write an essay on how pandemics have historically shaped cities and culture (400–600 words).,646,625,90.99947190284729,78.71606683731079,0.5121231521984372,0.5123334612846374,0.06964111328125,eos_token,0.0325
essays,essays_005,Write an essay about the value of failure in engineering and research (400–600 words).,585,502,79.05848908424377,458.50696301460266,0.5199574480708847,0.4288673063673346,0.6884765625,eos_token,0.1419
essays,essays_006,Write an essay on ocean plastic pollution causes and realistic mitigation strategies (400–600 words).,707,578,103.84647393226624,74.89533305168152,0.46387279682820387,0.44513094600509195,0.04107666015625,eos_token,0.1825
essays,essays_007,Write an essay tracing the evolution of programming paradigms from procedural to functional (400–600 words).,694,589,102.47248220443726,73.47347116470337,0.3654232308569147,0.41272175726947236,0.00010031461715698242,eos_token,0.1513
essays,essays_008,Write an essay on space exploration’s economic and cultural impacts beyond scientific discovery (400–600 words).,590,596,79.86288928985596,73.3622362613678,0.566092205855806,0.4312191205536759,0.040191650390625,eos_token,0.0
essays,essays_009,Write an essay explaining cognitive biases that affect decision‑making at work (400–600 words).,732,615,107.76861095428467,79.85205698013306,0.4713973302821644,0.43375618622554996,0.0004627704620361328,eos_token,0.1598
essays,essays_010,Write an essay on how open‑source communities sustain long‑term projects (400–600 words).,600,609,82.5563337802887,80.06177806854248,0.5770106718937555,0.5885388248367989,0.1922607421875,eos_patience_fallback,0.0
essays,essays_011,Write an essay on the future of work in an era of automation and AI augmentation (400–600 words).,648,608,93.25044083595276,77.97208189964294,0.45192919027658157,0.5714944633410165,0.0009741783142089844,eos_token,0.0617
essays,essays_012,Write an essay on biodiversity loss and the concept of planetary boundaries (400–600 words).,559,593,76.02515006065369,73.06525182723999,0.42629670915535395,0.43555727596025645,0.40771484375,eos_token,0.0
essays,essays_013,Write an essay about the art and science of data visualization (400–600 words).,626,606,86.18097114562988,78.13841700553894,0.4232717828628735,0.48357651109742644,0.67822265625,eos_token,0.0319
essays,essays_014,Write an essay on the history of cryptography from Caesar cipher to public‑key crypto (400–600 words).,649,719,93.34524011611938,97.20871591567993,0.38077153694831717,0.40528258171466197,0.00011748075485229492,eos_token,0.0
essays,essays_015,Write an essay on urban design principles that make streets safer for pedestrians (400–600 words).,567,570,80.04651713371277,69.2518949508667,0.5627020984309902,0.4829019572651177,0.437255859375,eos_token,0.0
essays,essays_016,Write an essay about the ethics of gene editing in humans (400–600 words).,630,565,86.55338096618652,71.66648483276367,0.429973916780381,0.5618196756438871,6.74128532409668e-05,eos_token,0.1032
essays,essays_017,Write an essay on memory and learning strategies supported by cognitive science (400–600 words).,768,768,122.74033784866333,105.68843388557434,0.38723984896205366,0.3703164414037019,0.0003223419189453125,cap_safety,0.0
essays,essays_018,Write an essay explaining how supply chains adapt to shocks and shortages (400–600 words).,647,624,85.6151659488678,81.39034128189087,0.5503643752986902,0.44807356853897756,0.005771636962890625,eos_token,0.0355
essays,essays_019,Write an essay on climate adaptation for coastal cities (400–600 words).,567,589,76.42954802513123,71.57236409187317,0.45638053526533556,0.47091994311894547,0.0017747879028320312,eos_token,0.0
